,SNID,filename,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,filenameshort,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY
0,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/hst_16234_70_wfc3_ir_f160w_ieel70/hst_16234_70_wfc3_ir_f160w_ieel70_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-7.4879089720835e-22,-7.1713535520259e-22,3.56250007947285e-05,hst_16234_70_wfc3_ir_f160w_ieel70_drz.fits,,,,,,,,,,,,,,
1,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/idgg31020/idgg31020_drz.fits,2025-04-07,HST,WFC3,F160W,3.11591675773636e-05,1.72698279525356e-05,1.72698279525356e-05,-3.1159167577363e-05,idgg31020_drz.fits,,,,,,,,,,,,,,
2,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/idgg3b020/idgg3b020_drz.fits,2025-04-11,HST,WFC3,F160W,-3.1821232491063e-05,1.60171734202421e-05,1.60171734202421e-05,3.18212324910632e-05,idgg3b020_drz.fits,,,,,,,,,,,,,,
3,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/idgg35020/idgg35020_drz.fits,2025-03-31,HST,WFC3,F160W,3.11591675782391e-05,1.72698279509561e-05,1.72698279509561e-05,-3.1159167578239e-05,idgg35020_drz.fits,,,,,,,,,,,,,,
4,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/hst_15145_3b_wfc3_ir_f160w_idgg3b/hst_15145_3b_wfc3_ir_f160w_idgg3b_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.3847131805542001e-21,-2.2384648175298e-21,3.56250007947285e-05,hst_15145_3b_wfc3_ir_f160w_idgg3b_drz.fits,,,,,,,,,,,,,,
5,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/hst_15145_3b_wfc3_ir_total_idgg3b/hst_15145_3b_wfc3_ir_total_idgg3b_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,-1.3847131805542001e-21,-2.2384648175298e-21,3.56250007947285e-05,hst_15145_3b_wfc3_ir_total_idgg3b_drz.fits,,,,,,,,,,,,,,
6,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all/hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all_drz.fits,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05,hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all_drz.fits,,,,,,,,,,,,,,
7,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/hst_16234_70_wfc3_ir_total_ieel70/hst_16234_70_wfc3_ir_total_ieel70_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,2.80813853527612e-22,-3.4955250813468e-22,3.56250007947286e-05,hst_16234_70_wfc3_ir_total_ieel70_drz.fits,,,,,,,,,,,,,,
8,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/hst_skycell-p2583x18y09_wfc3_ir_f160w_all/hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz.fits,2024-11-22,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05,hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz.fits,,,,,,,,,,,,,,
9,1997bq,pantheon_data_folder/1997bq/mastDownload/HST/hst_15145_31_wfc3_ir_total_idgg31/hst_15145_31_wfc3_ir_total_idgg31_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,1.50768724752035e-21,1.77414533997759e-21,3.56250007947285e-05,hst_15145_31_wfc3_ir_total_idgg31_drz.fits,,,,,,,,,,,,,,
